Result Type,Objective,Platform,Ad,Ad Group,Campaign,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Text,Text ID
Link clicks,Missing Value,instagram,Ad 2;...and 2 more ads,Ad 2;...and 2 more ads,Ad 2;...and 2 more ads,21.33,1747,10,0.0,1622.0,0.0,56,10.0,Bringing Big Ideas to Life at SMU,46
Link clicks,Missing Value,instagram,Ad 2;...and 3 more ads,Ad 2;...and 3 more ads,Ad 2;...and 3 more ads,3250.0,2477971,2521,0.0,2091623.0,0.0,24,2521.0,Bringing Big Ideas to Life at SMU,46
Link clicks,Missing Value,instagram,Ad 2;...and 5 more ads,Ad 2;...and 5 more ads,Ad 2;...and 5 more ads,127.73,115795,134,0.0,103743.0,0.0,253,134.0,Bringing Big Ideas to Life at SMU,46
Missing Value,Missing Value,instagram,Ad 3,Ad 3,Ad 3,85.28,4640,2,0.0,3246.0,0.0,2,2.0,"Coding a solution to resolve intestate succession. Madison Arcemont, a recent grad of SMU Dedman School of Law, developed a smart contract using blockchain technology to streamline the legal process.",54
Link clicks,Missing Value,instagram,Ad 3 - Common Connection;...and 1 more ad,Ad 3 - Common Connection;...and 1 more ad,Ad 3 - Common Connection;...and 1 more ad,472.48,488471,464,445817.0,386362.0,4484.0,33,464.0,What is the legend of Sunday Night Snacks? We’re waiting for you to join us to find out!,242
Missing Value,Missing Value,instagram,Ad 3 December 2021;...and 3 more ads,Ad 3 December 2021;...and 3 more ads,Ad 3 December 2021;...and 3 more ads,12.8,12823,14,0.0,12490.0,0.0,40,14.0,"“Our team at SMU is on the forefront of extending computational vibrational spectroscopy into periodic systems and solids, a field with a lot of potential, but still in its infancy.”-Elfi Kraka, chair of the Department of Chemistry at SMU.",276
Link clicks,Missing Value,instagram,Ad 3 February 2022;...and 2 more ads,Ad 3 February 2022;...and 2 more ads,Ad 3 February 2022;...and 2 more ads,22.91,4280,22,0.0,3992.0,0.0,71,22.0,"“It is an honor to receive this recognition – and responsibility – from the AAAS,” Loboa said. “I am most pleased to be joining the class of 2021 with my colleague, Professor Zhong Lu, whose work...typifies the world-changing, interdisciplinary research our SMU faculty strive to provide.”",268
Link clicks,Missing Value,instagram,Ad 3 January 2022;...and 3 more ads,Ad 3 January 2022;...and 3 more ads,Ad 3 January 2022;...and 3 more ads,45.05,32501,44,0.0,30936.0,0.0,246,44.0,"Could a company train an employee to become more conscientious, even if the worker isn’t invested in improving that trait? A new study suggests yes.",57
Missing Value,Missing Value,instagram,Ad 3;...and 1 more ad,Ad 3;...and 1 more ad,Ad 3;...and 1 more ad,442.95,24555,21,0.0,15508.0,0.0,0,21.0,What is the legend of Sunday Night Snacks? We’re waiting for you to join us to find out!,242
Missing Value,Missing Value,instagram,Ad 3;...and 2 more ads,Ad 3;...and 2 more ads,Ad 3;...and 2 more ads,3.8,353,1,0.0,345.0,0.0,5,1.0,"“It is an honor to receive this recognition – and responsibility – from the AAAS,” Loboa said. “I am most pleased to be joining the class of 2021 with my colleague, Professor Zhong Lu, whose work...typifies the world-changing, interdisciplinary research our SMU faculty strive to provide.”",268
