Text ID,Text,Spend,Impressions,Clicks,Video Starts,Reach,Video Full Completion,Engagements,Results,Platform,Platform Count,Ad,Ad Count,Ad Group,Ad Group Count,Campaign,Campaign Count,Result Type,Result Type Count,Objective,Objective Count
70,Explore the future of SMU Cox,478.02,7202,19,0.0,0.0,0.0,78,0.0,LinkedIn,1,"Dallas geographic area_Ad 5, Higher Ed Influencers_Ad 5, SMU alumni_Ad 5",3,"Dallas geographic area, Higher Ed Influencers, SMU alumni",3,Cox Groundbreaking | May 2022,1,Missing Value,1,Website visits,1
71,Explore the lasting impact of art and activism.,18.830000000000002,7228,36,0.0,6513.0,0.0,7,36.0,"facebook, instagram",2,Stakiah Quote | Black Album Launch | February Editorial | February 2021,1,Stakiah Quote | Black Album Launch | February Editorial | February 2021,1,Stakiah Quote | Black Album Launch | February Editorial | February 2021,1,"Link clicks, Missing Value",2,Missing Value,1
72,Explore what SMU has to offer for a successful school year.,985.86,345732,632,210712.0,0.0,3006.0,862,345732.0,Twitter,1,"Welcome Back, Mustangs!",1,Prospective Students & Parents ,1,"Editorial - Welcome Back, Mustangs!(Copy)",1,Impressions,1,Reach,1
73,Finding her yes,7.63,111,0,0.0,0.0,0.0,2,0.0,LinkedIn,1,Higher Ed Influencers_Wave 2_Ad 2,1,Higher Ed Influencers_Wave 2,1,Higher Ed Blitz_Wave 2,1,Missing Value,1,Website visits,1
74,"Five years and 45 fires, Palley's photos burn in your memory and spark conversations about the reality of living with wildfires.",284.0,58528,337,0.0,46318.0,0.0,133,337.0,"facebook, instagram, unknown",3,Photo Carousel SMU Page Followers | Wildfire Editorial | July 2021,1,Photo Carousel SMU Page Followers | Wildfire Editorial | July 2021,1,Photo Carousel SMU Page Followers | Wildfire Editorial | July 2021,1,"Link clicks, Missing Value",2,Missing Value,1
75,"Five years and 45 fires, Stuart Palley '11 captures photos that burn in your memory and spark conversations about the reality of living with wildfires.",105.80000000000001,18137,104,0.0,14832.0,0.0,2,104.0,"facebook, instagram, unknown",3,Photo Carousel | Texas Prospective Parents |SMU Page Followers | Wildfire Editorial | July 2021,1,Photo Carousel | Texas Prospective Parents |SMU Page Followers | Wildfire Editorial | July 2021,1,Photo Carousel | Texas Prospective Parents |SMU Page Followers | Wildfire Editorial | July 2021,1,"Link clicks, Missing Value",2,Missing Value,1
76,"For one day, let's show the world what Mustangs can do.",350.0,27786,84,25137.0,19148.0,732.0,107,4540.0,"facebook, instagram",2,Video Launch | SMU Students | SMU Giving Day 2021| March 2021; Video Launch | Graduate Alumni | SMU Giving Day 2021| March 2021;...and 5 more ads,1,Video Launch | SMU Students | SMU Giving Day 2021| March 2021; Video Launch | Graduate Alumni | SMU Giving Day 2021| March 2021;...and 5 more ads,1,Video Launch | SMU Students | SMU Giving Day 2021| March 2021; Video Launch | Graduate Alumni | SMU Giving Day 2021| March 2021;...and 5 more ads,1,Missing Value,1,Missing Value,1
77,"For one day, we can shape a brighter future. Make your move.",2357.79,165567,2173,0.0,105867.0,0.0,356,2173.0,"facebook, instagram, unknown",3,"Ad 4 - SMU Giving Day Wave 2, Ad 4 - SMU Giving Day Wave 2;...and 1 more ad",2,"Ad 4 - SMU Giving Day Wave 2, Ad 4 - SMU Giving Day Wave 2;...and 1 more ad",2,"Ad 4 - SMU Giving Day Wave 2, Ad 4 - SMU Giving Day Wave 2;...and 1 more ad",2,"Link clicks, Missing Value",2,Missing Value,1
78,"For their first two years at SMU, our students live on campus in 11 Residential Commons. Here, roommates may evolve into future business allies. New opportunities can unlock hidden potential, and even baking cookies together can forge lasting bonds as friends become family.",1.33,630,6,0.0,0.0,0.0,6,2.0,Twitter,1,Common Connections Launch,1,A Place to Call Home - Landing Page,1,Common Connections | January 2021,1,Link clicks,1,Website traffic,1
79,"For this human rights and international studies major, her goal in life is to make the world a more just place. How will she see it become a reality? Learn how to think outside the box.",1.76,230,4,0.0,0.0,0.0,4,1.0,Twitter,1,Ad 2,1,Higher Ed Influencers,1,Higher Ed Blitz_Wave 1,1,Link clicks,1,Website traffic,1
