Tweet Text,Campaign name,Ad name,Cost Per Result,Spend,Cost Per Result Type,Cost per 1k impressions,Cost per engagement,Tweet publish date,Placement,Campaign ID,Ad Group ID,Tweet status,Tweet ID,Campaign ID.1
"With your support, SMU will move significantly toward the top research designation for U.S. universities, enrich teaching, and enable students to benefit from enhanced classroom and laboratory experiences.",SMU Ignite Kickoff and Pillar Promo,Enrich Quote,5.61,32.28,Cost per 1k impressions,5.61,4.61,23-Sep-2021 16:54,All,i27078457,i33808088,Expired,1441159023005290501,27078457
"By continuing to strengthen our community engagement, nationally competitive athletics and diverse public programming, we will make a positive difference in Dallas and in communities far beyond the Hilltop.",SMU Ignite Kickoff and Pillar Promo,Enhance Pillar Overview,4.12,35.76,Cost per 1k impressions,4.12,2.24,23-Sep-2021 16:55,All,i27078457,i33808088,Paused,1441159388862025728,27078457
"SMU Ignited will enhance the quality of life and the global impact of Dallas by partnering with corporations, civic entities, and nonprofits, such as through the model Pre-K-8 STEM school in West Dallas.",SMU Ignite Kickoff and Pillar Promo,Enhance Quote,5.3,133.77,Cost per 1k impressions,5.3,1.83,23-Sep-2021 16:55,All,i27078457,i33808087,Paused,1441159276353949701,27078457
"SMU Ignited will enable us to bring top-ranked students to our campus.

With your support, we can help Mustangs thrive by offering more need-and merit-based scholarships, a wide range of internships, stipends, and international study support to provide real-world experiences.",SMU Ignite Kickoff and Pillar Promo,Empower Quote,6.45,158.93,Cost per 1k impressions,6.45,2.27,22-Sep-2021 09:54,All,i27078457,i33808087,Paused,1440691000867835914,27078457
"With your support, we will transform the lives of high-achieving students, enabling them to attend SMU regardless of financial means and apply what they gain on the Hilltop as they change the world.",SMU Ignite Kickoff and Pillar Promo,Empower Pillar Overview,6.37,27.48,Cost per 1k impressions,6.37,2.75,20-Sep-2021 12:33,All,i27078457,i33808087,Paused,1440006323345580037,27078457
"Now is the time to be bold. To propel SMU to the forefront of education and meet tomorrow’s challenges.

We are announcing a momentous $1.5 billion, multiyear campaign to empower outstanding students, enrich teaching and research, and enhance our campus and community.",SMU Ignite Kickoff and Pillar Promo,Paid Campaign Site Promo,6.16,38.11,Cost per 1k impressions,6.16,3.18,17-Sep-2021 12:50,All,i27078457,i33808087,Paused,1438923311719669761,27078457
"Today, we invite you to join us in lighting the spark that will energize the Hilltop, the city, and the world.

Today, the unlimited potential of SMU is ignited! https://t.co/oJEGT5ZtBY",SMU Ignite Kickoff and Pillar Promo,Untitled ad,2.84,5.3,Cost per 1k impressions,2.84,0.1,17-Sep-2021 12:30,All,i27078457,i33808089,Paused,1438918172556468226,27078457
"Packed into a tiny lab in the heart of our campus, Zhihao Wu is studying cells that could change the way the science community thinks of glioblastoma treatment.",Research Stories | Higher Ed Influencers | September 2021,DFW's Cancer Researchers,0.96,7.7,Cost per link click,3.74,0.33,02-Sep-2021 09:30,All,i26932597,i33621722,Expired,1433437268765593605,26932597
Research team in Dallas has found a way to make chemotherapy drugs more lethal to cancer cells without collateral damage to normal cells.,Research Stories | Higher Ed Influencers | September 2021,TIGAR Protein September,1.27,439.43,Cost per link click,10.87,0.39,02-Sep-2021 09:26,All,i26932597,i33621638,Paused,1433436183741169674,26932597
Understanding these icy worlds is a prime target of NASA’s longstanding goals – to determine whether or not we are alone in the universe.,Research Stories | Higher Ed Influencers | September 2021,Frosty the Seismometer September,1.29,14.24,Cost per link click,4.56,0.32,02-Sep-2021 09:22,All,i26932597,i33621637,Expired,1433435063216050176,26932597
Miguel Marx used a CT scan to reveal parts of the skull that are otherwise difficult to see while it was still partially encased in Angolan rock.,Research Stories | Higher Ed Influencers | September 2021,Not Nessie,0.26,0.78,Cost per link click,0.77,0.1,02-Sep-2021 09:18,All,i26932597,i33621636,Expired,1433434064451604482,26932597
"Recreating the mineral make-up of Titan will reveal insights for researchers working on an upcoming mission to Titan, slated for 2027.",Research Stories | Higher Ed Influencers | September 2021,Titan in a Glass,0.56,37.85,Cost per link click,2.44,0.18,02-Sep-2021 09:04,All,i26932597,i33621635,Expired,1433430627768946692,26932597
Our team has found a way to make chemotherapy drugs more lethal to cancer cells without collateral damage to normal cells.,Higher Ed Stories | August 2021,CHEMO Card with UTMs,1.62,4.86,Cost per link click,4.79,0.35,24-Aug-2021 10:21,All,i26685112,i33512758,Expired,1430188634523717636,26685112
"Looking up to the sky, it's natural to wonder if we're alone in the universe. For @NASA, studying icy worlds like Jupiter’s moon Europa is a target to determine the answer. How will we do it? 

Frosty the Seismometer.",Higher Ed Stories | August 2021,Frosty with UTMs,1.87,56.1,Cost per link click,7.03,0.57,24-Aug-2021 10:19,All,i26685112,i33512408,Expired,1430188090581262339,26685112
Three elite runners were invited to run on the world’s fastest treadmill — at our Locomotor Performance Laboratory directed by Dr. Peter Weyand— to examine the differences between running fast and running far (but still pretty fast).,Higher Ed Stories | August 2021,Weyand Research,1.53,122.07,Cost per link click,9.31,0.69,05-Aug-2021 09:24,All,i26685112,i33512408,Paused,1423288771206729732,26685112
"As wildfires and the devastation that follows worsens each year, can we find a way to coexist with them?

Today’s flammable landscapes have long human histories that have much to teach us.",Wildfire Editorial | July 2021,Wildfire link,0.0,0.01,Cost per link click,0.01,0.0,03-Aug-2021 15:15,All,i26493998,i33288922,Expired,1422652372828901378,26493998
